reg_type,gd_type,init_type,momentum,lr,cv_mse,cv_r2
normal,batch,zeros,False,0.01,0.21554257674965466,0.6863741855757544
normal,batch,zeros,False,0.001,0.7220257787269999,-0.05067132620537009
normal,batch,zeros,False,0.0001,43.95544733698398,-63.06322523204285
normal,batch,xavier,False,0.01,0.21310241033112284,0.6899005064254147
normal,batch,xavier,False,0.001,0.7346186655942668,-0.06877660869126871
normal,batch,xavier,False,0.0001,44.20941208261176,-63.43077618663165
normal,mini,zeros,False,0.01,0.21552829662940143,0.68638880524176
normal,mini,zeros,False,0.001,0.7199569489287562,-0.04762308645929596
normal,mini,zeros,False,0.0001,43.94868205564715,-63.05349254583258
normal,mini,xavier,False,0.01,0.21680084532261384,0.6846148140183816
normal,mini,xavier,False,0.001,0.7116313650440731,-0.034732496397849345
normal,mini,xavier,False,0.0001,43.766903323516246,-62.77963130275625
normal,stochastic,zeros,False,0.01,0.2663441971217086,0.6132290541277962
normal,stochastic,zeros,False,0.001,0.7245207749581107,-0.05379157989105223
normal,stochastic,zeros,False,0.0001,43.94943594683871,-63.05125944959307
normal,stochastic,xavier,False,0.01,0.22564683797667695,0.671800374060594
normal,stochastic,xavier,False,0.001,0.7120162239338744,-0.037437560682013114
normal,stochastic,xavier,False,0.0001,44.01003269927931,-63.12074068679824
normal,batch,zeros,True,0.01,0.14303298028765327,0.7915879333585607
normal,batch,zeros,True,0.001,0.21556777717513773,0.6863375966401037
normal,batch,zeros,True,0.0001,0.7221727930117032,-0.050885369295213236
normal,batch,xavier,True,0.01,0.14312662338459586,0.7914444121670747
normal,batch,xavier,True,0.001,0.21656630894972909,0.6849032000250029
normal,batch,xavier,True,0.0001,0.7210156940175254,-0.049111196050818415
normal,mini,zeros,True,0.01,0.145672525327951,0.7877937387409589
normal,mini,zeros,True,0.001,0.21600619293290296,0.6856870947882667
normal,mini,zeros,True,0.0001,0.7212401002907067,-0.04940188190080188
normal,mini,xavier,True,0.01,0.1484805111174375,0.7839133161222419
normal,mini,xavier,True,0.001,0.21692121935964886,0.6843878757061614
normal,mini,xavier,True,0.0001,0.7080018352876889,-0.029595205265558144
normal,stochastic,zeros,True,0.01,0.2261216751447706,0.6709671930985346
normal,stochastic,zeros,True,0.001,0.2228202204653143,0.6756873366236523
normal,stochastic,zeros,True,0.0001,0.7192218755232324,-0.04648482693175828
normal,stochastic,xavier,True,0.01,0.4811778405543194,0.30552213451459076
normal,stochastic,xavier,True,0.001,0.223539449071729,0.6748143315523872
normal,stochastic,xavier,True,0.0001,0.7559193121284709,-0.1003148583326964
lasso,batch,zeros,False,0.01,0.21554543613096602,0.6863699875262902
lasso,batch,zeros,False,0.001,0.7220275830071673,-0.050673988944401935
lasso,batch,zeros,False,0.0001,43.95557331774613,-63.06340875587582
lasso,batch,xavier,False,0.01,0.21768958202339372,0.6832253786827722
lasso,batch,xavier,False,0.001,0.7501684814028711,-0.09109455469020075
lasso,batch,xavier,False,0.0001,43.83601752596376,-62.91513381282564
lasso,mini,zeros,False,0.01,0.2161699865279348,0.6854575494312833
lasso,mini,zeros,False,0.001,0.724334258022051,-0.053997045120710394
lasso,mini,zeros,False,0.0001,43.97941184409821,-63.09848234311202
lasso,mini,xavier,False,0.01,0.21756771271724742,0.6835201400692125
lasso,mini,xavier,False,0.001,0.7245611427776807,-0.05405372801376522
lasso,mini,xavier,False,0.0001,43.554252500939086,-62.47947005336357
lasso,stochastic,zeros,False,0.01,0.32690916739103876,0.5237106767929736
lasso,stochastic,zeros,False,0.001,0.6737379118412062,0.018441703576043002
lasso,stochastic,zeros,False,0.0001,44.53651195473211,-63.91479864501322
lasso,stochastic,xavier,False,0.01,0.31258910587516575,0.5449459952483918
lasso,stochastic,xavier,False,0.001,0.6449037570398863,0.06149627951681429
lasso,stochastic,xavier,False,0.0001,44.22195593754733,-63.442779456730776
lasso,batch,zeros,True,0.01,0.14303901973151995,0.7915789714437825
lasso,batch,zeros,True,0.001,0.2155706380427084,0.6863333964075207
lasso,batch,zeros,True,0.0001,0.7221745414618997,-0.050887951048893806
lasso,batch,xavier,True,0.01,0.1431042170588847,0.7914930558553456
lasso,batch,xavier,True,0.001,0.2140751721605211,0.6885770025796897
lasso,batch,xavier,True,0.0001,0.7295295603796988,-0.06240924276530842
lasso,mini,zeros,True,0.01,0.16383324685616554,0.761327010694146
lasso,mini,zeros,True,0.001,0.21699122492164374,0.6842480846586926
lasso,mini,zeros,True,0.0001,0.7247246546873974,-0.05463238772362935
lasso,mini,xavier,True,0.01,0.16355743405409537,0.7618426239673253
lasso,mini,xavier,True,0.001,0.21594846692846023,0.6856179952107444
lasso,mini,xavier,True,0.0001,0.715047824930158,-0.04006586811531845
lasso,stochastic,zeros,True,0.01,0.4085797602884799,0.40668493557920565
lasso,stochastic,zeros,True,0.001,0.3301548022668698,0.5199204256626193
lasso,stochastic,zeros,True,0.0001,0.6661459188067852,0.030021792691811468
lasso,stochastic,xavier,True,0.01,0.3623203131852337,0.47119302383224626
lasso,stochastic,xavier,True,0.001,0.3159393840324439,0.5404803983936969
lasso,stochastic,xavier,True,0.0001,0.6335957988895815,0.07769672475863003
ridge,batch,zeros,False,0.01,0.2155266721315497,0.6863972108578695
ridge,batch,zeros,False,0.001,0.7219604420125274,-0.05057624295216736
